,Class,ID,Label
0,siren,598,8
1,siren,6130,8
2,siren,2389,8
3,children_playing,5714,2
4,air_conditioner,1714,0
5,engine_idling,5336,5
6,dog_bark,5907,3
7,engine_idling,4461,5
8,air_conditioner,1635,0
9,street_music,1584,9
10,dog_bark,2607,3
11,street_music,6821,9
12,jackhammer,3526,7
13,air_conditioner,4358,0
14,drilling,3416,4
15,dog_bark,6963,3
16,air_conditioner,7455,0
17,siren,2645,8
18,drilling,6900,4
19,car_horn,1078,1
20,engine_idling,1399,5
21,jackhammer,1871,7
22,dog_bark,304,3
23,dog_bark,5927,3
24,siren,3717,8
25,drilling,2466,4
26,drilling,5112,4
27,car_horn,3103,1
28,street_music,4262,9
29,car_horn,571,1
30,siren,1933,8
31,siren,4386,8
32,siren,6104,8
33,air_conditioner,8659,0
34,dog_bark,886,3
35,drilling,2966,4
36,car_horn,1938,1
37,air_conditioner,7618,0
38,air_conditioner,657,0
39,dog_bark,8004,3
40,engine_idling,2237,5
41,street_music,4062,9
42,car_horn,8050,1
43,jackhammer,6938,7
44,street_music,4884,9
45,children_playing,4299,2
46,air_conditioner,776,0
47,street_music,3148,9
48,air_conditioner,7671,0
49,siren,7597,8
50,dog_bark,1118,3
51,drilling,1436,4
52,engine_idling,937,5
53,drilling,333,4
54,gun_shot,6603,6
55,engine_idling,7375,5
56,children_playing,2329,2
57,drilling,8464,4
58,dog_bark,7232,3
59,siren,663,8
60,engine_idling,7336,5
61,jackhammer,2503,7
62,children_playing,7644,2
63,car_horn,645,1
64,jackhammer,6308,7
65,drilling,351,4
66,siren,3519,8
67,air_conditioner,5816,0
68,street_music,925,9
69,air_conditioner,7387,0
70,siren,8477,8
71,street_music,1542,9
72,drilling,7893,4
73,car_horn,5132,1
74,children_playing,1782,2
75,siren,7725,8
76,street_music,7881,9
77,gun_shot,8299,6
78,car_horn,3668,1
79,drilling,817,4
80,children_playing,2785,2
81,drilling,5557,4
82,car_horn,5219,1
83,air_conditioner,3131,0
84,siren,850,8
85,street_music,2702,9
86,children_playing,3400,2
87,engine_idling,3481,5
88,jackhammer,7582,7
89,engine_idling,6977,5
90,engine_idling,6448,5
91,drilling,5528,4
92,air_conditioner,7078,0
93,engine_idling,4138,5
94,children_playing,1842,2
95,air_conditioner,3455,0
96,dog_bark,8485,3
97,jackhammer,7400,7
98,dog_bark,3011,3
99,car_horn,6888,1
100,car_horn,8310,1
101,dog_bark,6446,3
102,siren,1921,8
103,dog_bark,163,3
104,siren,162,8
105,children_playing,7195,2
106,jackhammer,5764,7
107,gun_shot,6141,6
108,street_music,282,9
109,street_music,5533,9
110,engine_idling,6560,5
111,drilling,6376,4
112,car_horn,5865,1
113,dog_bark,7785,3
114,dog_bark,8064,3
115,street_music,8562,9
116,siren,4472,8
117,gun_shot,1425,6
118,street_music,7916,9
119,siren,6224,8
120,air_conditioner,6050,0
121,gun_shot,2950,6
122,siren,524,8
123,street_music,1603,9
124,jackhammer,2401,7
125,air_conditioner,4131,0
126,jackhammer,4824,7
127,siren,629,8
128,siren,0,8
129,air_conditioner,900,0
130,dog_bark,5710,3
131,siren,8603,8
132,siren,3771,8
133,drilling,4331,4
134,jackhammer,3660,7
135,car_horn,4303,1
136,siren,3934,8
137,dog_bark,4075,3
138,siren,8675,8
139,siren,3813,8
140,children_playing,7909,2
141,drilling,840,4
142,dog_bark,5721,3
143,drilling,713,4
144,siren,3721,8
145,siren,3685,8
146,street_music,538,9
147,air_conditioner,8729,0
148,siren,4532,8
149,dog_bark,7952,3
150,street_music,6573,9
151,car_horn,551,1
152,gun_shot,7083,6
153,air_conditioner,3110,0
154,jackhammer,676,7
155,drilling,2918,4
156,air_conditioner,7982,0
157,engine_idling,4562,5
158,street_music,4599,9
159,siren,651,8
160,children_playing,5661,2
161,air_conditioner,2333,0
162,jackhammer,2992,7
163,drilling,6173,4
164,engine_idling,3491,5
165,drilling,7140,4
166,children_playing,5902,2
167,dog_bark,6088,3
168,engine_idling,1916,5
169,jackhammer,8069,7
170,jackhammer,2193,7
171,drilling,2154,4
172,air_conditioner,4490,0
173,engine_idling,543,5
174,children_playing,973,2
175,dog_bark,7338,3
176,jackhammer,730,7
177,drilling,7061,4
178,air_conditioner,6493,0
179,air_conditioner,4770,0
180,jackhammer,5951,7
181,children_playing,2555,2
182,jackhammer,1388,7
183,jackhammer,1235,7
184,air_conditioner,4988,0
185,air_conditioner,7638,0
186,siren,3745,8
187,street_music,1091,9
188,air_conditioner,4800,0
189,gun_shot,3423,6
190,siren,1296,8
191,dog_bark,630,3
192,street_music,8130,9
